"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"PSAP",3056.72920211625,0.362874386570885,0.0874284632774675,4.15052916370322,3.31707497843018e-05,0.0291883443028014
"MAP3K8",1020.56913827193,0.763808109294362,0.184296523905565,4.14445206620252,3.40627194571144e-05,0.0291883443028014
"OSM",761.491853233965,2.04365599030289,0.495861446664917,4.12142545876109,3.76535307124956e-05,0.0298592601841112
"FOXB1",64.2363628655306,1.87194414085004,0.455241060576879,4.11198440333551,3.92272805209272e-05,0.0298592601841112
"IL13",798.067761865003,2.50602846272627,0.610175600227482,4.10706108502534,4.00725279632721e-05,0.0298592601841112
"ZNF846",121.814751145009,0.909347285153457,0.231446443363605,3.92897497986116,8.53087139741785e-05,0.0609175308370613
"IL2RA",5096.71807886515,1.14713578517089,0.296153574970121,3.87344905522962,0.000107305845750821,0.073560303379103
"CCDC150",841.327944782392,-0.730496360240569,0.190335297907617,-3.83794476521707,0.000124068379834917,0.0793721068277208
"VPS53",111.967202857065,-1.37281636336502,0.357875599939862,-3.8360155417014,0.000125046498094787,0.0793721068277208
"TMEM74B",172.533218775058,-1.07772403901597,0.285988194417837,-3.76842142456198,0.000164283181011914,0.0969737108321942
"PEX5L",2128.88190502756,1.84554647781328,0.490805822113749,3.76023754132557,0.000169752090381948,0.0969737108321942
"HISLA",365.873811664468,0.929950144569643,0.250719501218815,3.70912569644126,0.000207976166952698,0.113314763618537
"JUP",50.187854268243,2.49535031716759,0.674972734889944,3.69696461528103,0.000218192741242369,0.113314763618537
"ACVR2A",2526.71532715119,0.932230493643688,0.254035091168124,3.66969181051733,0.000242843065001076,0.11910848162091
"ETS2",415.953056660095,1.15764602872827,0.315498062614301,3.66926509511882,0.000243248737118207,0.11910848162091
"PPFIBP1",910.052032566464,1.0936744636814,0.299112809914991,3.65639460239843,0.000255787510039072,0.121769065195823
"FOXP3",2243.45000531125,1.78373671854642,0.491137108541495,3.63185083660954,0.000281395766047402,0.130339476716767
"FXYD7",98.7207020671653,1.79653855003942,0.496907150653909,3.61544112954552,0.000299836609845363,0.135226311040259
"ADGRG1",493.161125021138,1.62732308654403,0.454898672908041,3.57733091666547,0.00034712061374134,0.149186756769834
"DMAC1",166.992219861805,0.946854350960108,0.264741935867897,3.57651819631846,0.000348201089438287,0.149186756769834
"STOM",2047.52266648952,-0.516131120263289,0.146815316668778,-3.51551276783814,0.000438905655043674,0.173734599901982
"RXRA",418.293530613084,1.05701403152864,0.300846357391893,3.51346793988844,0.000442297786032317,0.173734599901982
"XRCC2",655.223467583968,-0.561367032513855,0.159877788724502,-3.51122589943492,0.000446045185884421,0.173734599901982
"CEND1",57.8756491317301,1.74206801834458,0.498177533248111,3.49688193882674,0.000470730109263877,0.176164026244132
"CRBN",846.663985531233,0.518752363075633,0.148506138048349,3.49313752207834,0.000477380594591219,0.176164026244132
"EPB41L2",1546.5985250857,-1.2616165294005,0.362020526508785,-3.48493092799778,0.000492264096662405,0.176164026244132
"DENND6B",83.7695303884421,1.39653728544606,0.401141371740373,3.48140925825504,0.00049878275100947,0.176164026244132
"IFNLR1",63.0486850442233,1.70614962227281,0.491159142640446,3.47372058087046,0.000513295262564917,0.176164026244132
"MBOAT2",1190.52504376068,-0.688287199163003,0.201588967063362,-3.41430986620744,0.000639438065883613,0.204042323339495
"PPM1L",3488.78737853023,0.803406685626642,0.235552151025817,3.41073805578871,0.000647873003163539,0.204042323339495
"RRM2",12705.0495527069,-0.558623833397406,0.164080377052797,-3.40457429115764,0.000662672721647098,0.204042323339495
"HDHD5",122.681900382927,1.03018296931954,0.3031327184211,3.39845522016022,0.000677675559718566,0.204042323339495
"CWC25",34.600734029408,3.25403532720953,0.959477327405567,3.39146661861043,0.000695196311528253,0.204042323339495
"NT5E",270.44735023428,0.910247282644889,0.269012056148638,3.38366724405076,0.000715246311778324,0.204042323339495
"CAPG",1001.34416014743,1.50225830004529,0.444540641972591,3.37934973364687,0.000726575145602129,0.204042323339495
"ACTR8",762.586701634379,0.747306542762438,0.221345340594019,3.3762018245196,0.000734939859074416,0.204042323339495
"L1CAM",117.050698436231,1.43607104331645,0.425467175137887,3.37528046165028,0.00073740499965388,0.204042323339495
"TPM1",138.733170302379,1.0565065988344,0.313034563291531,3.37504775103851,0.000738028839232318,0.204042323339495
"ELMO2",237.007313294342,0.634767875323725,0.188079480722597,3.37499802150113,0.000738162215372196,0.204042323339495
